genus_species,male_bodymass,female_bodymass,source
Aotus_lemurinus,0.921,0.859,Hernandez-Camacho and Defler (1985)
Ateles_paniscus,9.11,8.44,Smith and Jungers (1997)
Alouatta_seniculus,7.62,6.02,Smith and Jungers (1997)
Brachyteles_arachnoides,9.61,8.07,Smith and Jungers (1997)
Lagothrix_lagotricha,7.28,7.02,Smith and Jungers (1997)
Callithrix_argentata,0.33,0.36,Smith and Jungers (1997)
Callimico_goeldii,0.499,0.468,Smith and Jungers (1997)
Callithrix_pygmaea,0.11,0.122,Smith and Jungers (1997)
Leontopithecus_rosalia,0.62,0.598,Smith and Jungers (1997)
Saguinus_imperator,0.474,0.475,Smith and Jungers (1997)
Cebus_apella,3.84,2.66,Smith and Jungers (1997)
Saimiri_boliviensis,0.911,0.711,Smith and Jungers (1997)
Cercopithecus_lhoesti,5.97,3.45,Smith and Jungers (1997)
Allenopithecus_nigroviridis,6.13,3.18,Smith and Jungers (1997)
Chlorocebus_pygerythrus,4.13,2.57,Turner et al. (1997)
Colobus_angolensis,9.68,7.57,Smith and Jungers (1997)
Cercopithecus_mitis,5.85,3.93,Colyn (1994)
Cercocebus_torquatus,9.47,5.5,Smith and Jungers (1997)
Erythrocebus_patas,12.4,6.5,Smith and Jungers (1997)
Trachypithecus_johnii,12,11.2,Smith and Jungers (1997)
Lophocebus_albigena,8.98,6.4,Gautier-Hion and Gautier (1976)
Macaca_fascicularis,5.36,3.59,Smith and Jungers (1997)
Macaca_nemestrina,11.6,7.15,Smith and Jungers (1997)
Mandrillus_sphinx,34.4,12.8,Setchell et al. (2001)
Miopithecus_talapoin,1.38,1.12,Gautier-Hion and Gautier (1976)
Nasalis_larvatus,21.02,10.48,Gordon (2006)
Papio_anubis,21.1,12.2,Berger (1972)
Piliocolobus_badius,8.3,8.2,Oates et al. (1990)
Pygathrix_nemaeus,11,8.44,Smith and Jungers (1997)
Presbytis_rubicunda,6.29,6.17,Smith and Jungers (1997)
Procolobus_verus,4.7,4.2,Smith and Jungers (1997)
Semnopithecus_entellus,13,9.89,Smith and Jungers (1997)
Theropithecus_gelada,19,11.7,Smith and Jungers (1997)
Trachypithecus_obscurus,7.9,6.26,Smith and Jungers (1997)
Cheirogaleus_major,0.438,0.362,Smith and Jungers (1997)
Microcebus_murinus,0.063,0.0672,Gordon (2006)
Phaner_furcifer,0.328,0.351,Gordon (2006)
Daubentonia_madagascariensis,2.62,2.49,Smith and Jungers (1997)
Euoticus_elegantulus,0.287,0.261,Smith and Jungers (1997)
Galagoides_demidoff,0.63,0.6,Smith and Jungers (1997)
Galago_senegalensis,0.227,0.199,Smith and Jungers (1997)
Otolemur_crassicaudatus,1.19,1.11,Smith and Jungers (1997)
Gorilla_gorilla,169.3,75.7,Smith and Jungers (1997)
Homo_sapiens,58.1,49.7,Smith and Jungers (1997)
Pongo_pygmaeus,78.5,35.8,Smith and Jungers (1997)
Pan_troglodytes,59.3,41,Smith and Jungers (1997)
Hylobates_lar,5.9,5.34,Smith and Jungers (1997)
Symphalangus_syndactylus,11.88,10.71,Smith and Jungers (1997)
Avahi_laniger,1.03,1.32,Smith and Jungers (1997)
Indri_indri,5.83,6.84,Smith and Jungers (1997)
Propithecus_verreauxi,2.84,2.76,Richard et al. (2000)
Eulemur_fulvus,2.18,2.25,Smith and Jungers (1997); used value for E. fulvus rufus
Hapalemur_griseus,0.748,0.67,Smith and Jungers (1997)
Lemur_catta,2.21,2.21,Smith and Jungers (1997)
Varecia_variegata,3.47,3.51,Smith and Jungers (1997)
Lepilemur_mustelinus,0.761,0.779,Smith and Jungers (1997); used value for L. ruficaudatus
Arctocebus_calabarensis,0.312,0.306,Smith and Jungers (1997)
Loris_tardigradus,0.264,0.269,Smith and Jungers (1997)
Nycticebus_coucang,0.679,0.626,Smith and Jungers (1997)
Perodicticus_potto,0.83,0.836,Smith and Jungers (1997)
Cacajao_calvus,3.45,2.88,Smith and Jungers (1997)
Chiropotes_satanas,2.9,2.58,Smith and Jungers (1997)
Callicebus_torquatus,1.15,1.05,Smith and Jungers (1997)
Pithecia_pithecia,1.94,1.58,Smith and Jungers (1997)
Tarsius_spectrum,0.125,0.108,Smith and Jungers (1997)
