genus_species,activity,diet,locomotion
Aotus_lemurinus,3,1,1
Ateles_paniscus,1,1,3
Alouatta_seniculus,1,2,1
Brachyteles_arachnoides,1,2,3
Lagothrix_lagotricha,1,1,1
Callithrix_argentata,1,1,2
Callimico_goeldii,1,2,2
Callithrix_pygmaea,1,2,2
Leontopithecus_rosalia,1,2,2
Saguinus_imperator,1,2,2
Cebus_apella,1,2,1
Saimiri_boliviensis,1,2,1
Cercopithecus_lhoesti,1,2,1
Allenopithecus_nigroviridis,1,1,1
Chlorocebus_pygerythrus,1,2,1
Colobus_angolensis,1,2,1
Cercopithecus_mitis,1,2,1
Cercocebus_torquatus,1,2,1
Erythrocebus_patas,1,2,1
Trachypithecus_johnii,1,3,1
Lophocebus_albigena,1,2,1
Macaca_fascicularis,1,2,1
Macaca_nemestrina,1,2,1
Mandrillus_sphinx,1,2,1
Miopithecus_talapoin,1,3,1
Nasalis_larvatus,1,2,1
Papio_anubis,1,3,1
Piliocolobus_badius,1,3,1
Pygathrix_nemaeus,1,3,1
Presbytis_rubicunda,1,2,1
Procolobus_verus,1,3,1
Semnopithecus_entellus,1,3,1
Theropithecus_gelada,1,3,3
Trachypithecus_obscurus,1,3,3
Cheirogaleus_major,3,1,1
Microcebus_murinus,3,2,1
Phaner_furcifer,3,1,1
Daubentonia_madagascariensis,3,3,1
Euoticus_elegantulus,3,2,1
Galagoides_demidoff,3,2,2
Galago_senegalensis,3,2,2
Otolemur_crassicaudatus,3,2,1
Gorilla_gorilla,1,3,1
Homo_sapiens,1,1,3
Pongo_pygmaeus,1,1,3
Pan_troglodytes,1,2,2
Hylobates_lar,1,2,3
Symphalangus_syndactylus,1,2,3
Avahi_laniger,3,3,3
Indri_indri,1,3,3
Propithecus_verreauxi,1,3,3
Eulemur_fulvus,2,2,1
Hapalemur_griseus,2,3,2
Lemur_catta,2,2,1
Varecia_variegata,2,1,1
Lepilemur_mustelinus,3,3,2
Arctocebus_calabarensis,3,3,1
Loris_tardigradus,3,3,1
Nycticebus_coucang,3,1,1
Perodicticus_potto,3,2,1
Cacajao_calvus,1,2,1
Chiropotes_satanas,1,1,1
Callicebus_torquatus,1,2,1
Pithecia_pithecia,1,2,1
Tarsius_spectrum,3,3,3
